method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
VB,100,124,1,0,0.01776428219771008,-0.406113100941387,0.4416416653368071,1,0.07900000000000063
VB,100,124,2,5,4.78675668455433,4.429858480016002,5.143654889092658,1,0.07900000000000063
VB,100,124,3,10,10.02419522838934,9.650365641125708,10.398024815652972,1,0.07900000000000063
VB,100,124,4,20,19.86174895158223,19.434143685361356,20.2893542178031,1,0.07900000000000063
Gibbs,100,125,1,0,0.23324678018577505,-0.12149945622681604,0.600117496736756,1,23.056
Gibbs,100,125,2,5,4.38706383094869,3.9049266690411297,4.847870845447988,0,23.056
Gibbs,100,125,3,10,9.518055050502104,9.009985117943822,10.037426563627228,1,23.056
Gibbs,100,125,4,20,20.068422059850544,19.709539521014072,20.4286969042574,1,23.056
VB,100,125,1,0,0.2337387918406521,-0.11880960836634225,0.5862871920476465,1,0.06400000000000006
VB,100,125,2,5,4.399250507281754,3.9793678796446184,4.819133134918889,0,0.06400000000000006
VB,100,125,3,10,9.531133823532782,9.04613651714934,10.016131129916223,1,0.06400000000000006
VB,100,125,4,20,20.06590994830191,19.71394032104672,20.4178795755571,1,0.06400000000000006
Gibbs,100,126,1,0,-0.07005276250755155,-0.43075659778399666,0.2909334965554661,1,23.409
Gibbs,100,126,2,5,4.977030501406113,4.547900511526271,5.417678878414946,1,23.409
Gibbs,100,126,3,10,10.137982126392426,9.757212009315731,10.519034251127986,1,23.409
Gibbs,100,126,4,20,19.99124274621328,19.53666731715616,20.444706377395978,1,23.409
VB,100,126,1,0,-0.07195707347788938,-0.429306421066745,0.28539227411096624,1,0.06199999999999761
VB,100,126,2,5,4.973424558587177,4.564960223070719,5.381888894103635,1,0.06199999999999761
VB,100,126,3,10,10.134446295897051,9.763520318923552,10.505372272870554,1,0.06199999999999761
VB,100,126,4,20,19.983725527375995,19.53418897252168,20.43326208223031,1,0.06199999999999761
Gibbs,100,127,1,0,0.01997224350211821,-0.34622012654073414,0.38874082944471744,1,23.297
Gibbs,100,127,2,5,4.7432305765023886,4.253092637572494,5.233955509860478,1,23.297
Gibbs,100,127,3,10,9.667833898408665,9.303171900264184,10.035077632150912,1,23.297
Gibbs,100,127,4,20,19.90645369855595,19.46873384876203,20.34218687912576,1,23.297
VB,100,127,1,0,0.01897195285114459,-0.3446410546473184,0.3825849603496077,1,0.06700000000000017
VB,100,127,2,5,4.742537629126147,4.3031905316384105,5.181884726613884,1,0.06700000000000017
VB,100,127,3,10,9.66627130519447,9.314653982428602,10.01788862796034,1,0.06700000000000017
VB,100,127,4,20,19.90847940199667,19.470319604666972,20.346639199326365,1,0.06700000000000017
Gibbs,100,128,1,0,0.11681533972346685,-0.2660703170064489,0.5079518849566941,1,23.174
Gibbs,100,128,2,5,4.7850868253925185,4.334458924699877,5.242066775224771,1,23.174
Gibbs,100,128,3,10,10.247583598230428,9.846734628672245,10.645423996318936,1,23.174
Gibbs,100,128,4,20,20.058073224010027,19.650962261493618,20.469269132258773,1,23.174
VB,100,128,1,0,0.1165823035639085,-0.2531759492404746,0.48634055636829165,1,0.06499999999999773
VB,100,128,2,5,4.779161225963954,4.370677666878776,5.187644785049133,1,0.06499999999999773
VB,100,128,3,10,10.241633032625089,9.856570066006595,10.626695999243578,1,0.06499999999999773
VB,100,128,4,20,20.059499566189395,19.65090013095287,20.46809900142592,1,0.06499999999999773
Gibbs,100,129,1,0,0.17405587500339845,-0.22297405707262535,0.5695940452182937,1,25.518
Gibbs,100,129,2,5,4.991513153720935,4.60406251620136,5.381766191654518,1,25.518
Gibbs,100,129,3,10,9.964971015682448,9.521523243156269,10.404726361093692,1,25.518
Gibbs,100,129,4,20,19.860622589955295,19.464230219181655,20.26083012634427,1,25.518
VB,100,129,1,0,0.17375756623674615,-0.20156657882439016,0.5490817112978825,1,0.06200000000000116
VB,100,129,2,5,4.991844026828661,4.619631654618831,5.36405639903849,1,0.06200000000000116
VB,100,129,3,10,9.966642151531373,9.539243879576512,10.394040423486231,1,0.06200000000000116
VB,100,129,4,20,19.85964836834713,19.459648368347132,20.25964836834713,1,0.06200000000000116
Gibbs,100,13,1,0,0.22850677433865615,-0.208530904538871,0.6713848357665942,1,16.22
Gibbs,100,13,2,5,4.903857069495571,4.488770823524805,5.321213077126205,1,16.22
Gibbs,100,13,3,10,10.080717078543968,9.666214873205128,10.49412041982246,1,16.22
Gibbs,100,13,4,20,20.00973738665429,19.626205530235737,20.382758935597728,1,16.22
VB,100,13,1,0,0.2206503131208923,-0.1840872408850457,0.6253878671268304,1,0.0450000000000017
VB,100,13,2,5,4.89929097524771,4.510354600632861,5.2882273498625585,1,0.0450000000000017
VB,100,13,3,10,10.085656874106022,9.687093484314865,10.48422026389718,1,0.0450000000000017
VB,100,13,4,20,20.00760546642202,19.63047312340957,20.384737809434473,1,0.0450000000000017
Gibbs,100,130,1,0,-0.2347971549295272,-0.5885088383565577,0.12749619504908957,1,24.717
Gibbs,100,130,2,5,4.876681649412907,4.429094553449505,5.329365064979625,1,24.717
Gibbs,100,130,3,10,10.231114155207504,9.794279153048263,10.659689129395138,1,24.717
Gibbs,100,130,4,20,20.33223568912513,19.97549178760007,20.69359968868978,1,24.717
VB,100,130,1,0,-0.23626588600631224,-0.5941117571517842,0.12157998513915964,1,0.05999999999999872
VB,100,130,2,5,4.876810676126523,4.427779994740868,5.325841357512178,1,0.05999999999999872
VB,100,130,3,10,10.232567449434985,9.804628227822503,10.66050667104746,1,0.05999999999999872
VB,100,130,4,20,20.33208115198574,19.974295373743665,20.689866930227815,1,0.05999999999999872
Gibbs,100,131,1,0,0.01674627930747238,-0.4368680865079737,0.48007113639910354,1,24.741
Gibbs,100,131,2,5,4.6950015679185455,4.302332315335685,5.086246682112867,1,24.741
Gibbs,100,131,3,10,9.92762999343314,9.555086052834868,10.296525498073573,1,24.741
Gibbs,100,131,4,20,19.885447718482872,19.522578503784185,20.260378732784197,1,24.741
VB,100,131,1,0,0.01362027164515486,-0.4476177362760906,0.47485827956640025,1,0.0660000000000025
VB,100,131,2,5,4.694881296914529,4.310337601200562,5.079424992628496,1,0.0660000000000025
VB,100,131,3,10,9.927475989816466,9.55702727481692,10.297924704816012,1,0.0660000000000025
VB,100,131,4,20,19.886569423046627,19.516230365568543,20.256908480524707,1,0.0660000000000025
